############################################
CP014688 ( Acetobacter persici strain TMW2.1084 plasmid pAC1084_1, complete sequence ) 
--------------------------------------------
### System: CAS-TypeIE (UserReplicon_CAS-TypeIE_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP014688.1_298	cse1_TypeIE	mandatory	CAS-TypeIE	CDS	278410	279909	+	ID=1_298;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544;conf=100.00;score=98.68;cscore=98.19;sscore=0.49;rscore=6.98;uscore=0.69;tscore=-7.17;
CP014688.1_299	cse2_TypeIE	mandatory	CAS-TypeIE	CDS	279906	280415	+	ID=1_299;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.529;conf=99.70;score=25.20;cscore=20.78;sscore=4.43;rscore=5.59;uscore=2.85;tscore=-5.31;
CP014688.1_300	cas7_TypeIE	mandatory	CAS-TypeIE	CDS	280421	281539	+	ID=1_300;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.568;conf=100.00;score=90.37;cscore=87.80;sscore=2.57;rscore=-6.58;uscore=4.60;tscore=3.33;
CP014688.1_301	cas5_TypeIE	mandatory	CAS-TypeIE	CDS	281532	282155	+	ID=1_301;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.562;conf=99.97;score=35.23;cscore=33.56;sscore=1.67;rscore=-3.29;uscore=0.38;tscore=3.33;
CP014688.1_302	cas6_TypeIE	mandatory	CAS-TypeIE	CDS	282157	282819	+	ID=1_302;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.535;conf=99.99;score=39.95;cscore=28.85;sscore=11.10;rscore=5.59;uscore=0.92;tscore=3.33;
####Summary system CAS-TypeIE:begin=278410;end=282819:{sequenceID=CP014688} : [cse1_TypeIE (278410,279909,+); cse2_TypeIE (279906,280415,+); cas7_TypeIE (280421,281539,+); cas5_TypeIE (281532,282155,+); cas6_TypeIE (282157,282819,+)]

### System: CAS-TypeIF (UserReplicon_CAS-TypeIF_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP014688.1_512	csy1_TypeIF	mandatory	CAS-TypeIF	CDS	479746	481005	+	ID=1_512;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523;conf=100.00;score=70.37;cscore=61.18;sscore=9.19;rscore=3.44;uscore=2.41;tscore=3.33;
CP014688.1_513	csy2_TypeIF	mandatory	CAS-TypeIF	CDS	481002	481982	+	ID=1_513;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539;conf=100.00;score=43.95;cscore=40.99;sscore=2.96;rscore=6.98;uscore=-4.04;tscore=-5.31;
CP014688.1_514	csy3_TypeIF	mandatory	CAS-TypeIF	CDS	482013	483044	+	ID=1_514;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.507;conf=100.00;score=93.31;cscore=74.81;sscore=18.51;rscore=6.98;uscore=7.25;tscore=3.33;
CP014688.1_515	cas6_TypeIF	mandatory	CAS-TypeIF	CDS	483049	483621	+	ID=1_515;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532;conf=99.56;score=23.57;cscore=22.68;sscore=0.89;rscore=6.98;uscore=-2.00;tscore=-5.31;
####Summary system CAS-TypeIF:begin=479746;end=483621:{sequenceID=CP014688} : [csy1_TypeIF (479746,481005,+); csy2_TypeIF (481002,481982,+); csy3_TypeIF (482013,483044,+); cas6_TypeIF (483049,483621,+)]


